start time hr:min:sec	end time hr:min:sec	Annotations	Layer	Index	
0:0:0	0:0:20	Welcome to Latin American Press Review, a weekly selection and analysis of important events and issues in Latin America, as seen by leading world newspapers, with special emphasis on the Latin American press. This program is produced by the Latin American Policy Alternatives Group.	Speaker 1	Latin American Press Review, Introduction	
0:0:20	0:0:54	The London weekly, Latin America, reports from Chile that for the first time in two years, the right-wing Christian Democrats have been talking to the government instead of engaging in a mutual slinging match. The right-wing leadership of the Christian Democratic party agreed to talks only after an urgent warning from the church that civil war could be imminent. This followed last week's assassination of President Salvador Allende Naval aide-de-camp, Captain Arturu Araya, and widespread sabotage upon the declaration of another transportation owner strike similar to last October's, although bus and taxi drivers did not immediately join in the stoppage, except in a few areas.	Speaker 2	Chile, Allende, Araya	
0:0:54	0:1:15	By the end of last week, the situation looked exceptionally grave. Although the Christian Democrats remained deaf to Allende's desperate appeals for talks, both left and right pinned the guilt for Araya's assassination on opposing extremists. Though the right seemed to have a much more clear-cut motive to provoke a military coup.	Speaker 1	Chile, Allende	
0:1:15	0:1:36	On Monday, however, the political temperature dropped several degrees when talks between the government and opposition got underway as a result of the church appeal. But although the imminent threat of civil war has receded, many observers feel the country may have passed the point at which compromise is possible. On both sides, there are powerful groups and individuals strongly opposed even to seeking one.	Speaker 2	Chile	
0:1:36	0:2:16	Most socialists and the revolutionary left feel that the working class is becoming imbued with a really revolutionary spirit. They cite the occupation of factories, the development of local workers councils, and they are not willing to lose it. The opposition, on the other hand, seems to be preparing a last ditch stand to defend Chile's traditional institutions. Allende, believing that everyone would lose in the event of a confrontation and that the first to be lost would be such revolutionary reforms as he has been able to achieve looks increasingly isolated in the middle. This report on Chile from Latin America.	Speaker 1	Chile, Allende	
0:2:16	0:2:50	Accusations that the Brazilian government has been using torture as a part of its official policy of repression have been common from as long ago as 1968. These allegations have, in the course of time, become more detailed, and the lists of tortured ever longer. In 1970, Brazilian president Emílio Médici admitted that there had been cases of torture, but he denied that this was an official policy and promised that the torturers would be brought to justice. However, in the intervening years, the government and its agencies overseas have taken up an increasingly rigid stand and have denied that there have been any cases at all.	Speaker 2	Brazil, Médici, government censorship 	
0:2:50	0:3:22	With the imposition of rigid press censorship, it became increasingly difficult to substantiate allegations of torture that were made. The one body within Brazil that has from time to time taken issue with the government has been the church, but until recently, its complaints were mainly directed against torture perpetrated on members of the clergy. Earlier this year, however, the church began to take up a much more militant attitude, particularly since the death of a student at the hands of the police.	Speaker 1	Brazil, government censorship	
0:3:22	0:3:57	Latin America says that in the second week of July, Brazil's National Council of Bishops, referring to a decision by a military tribunal, listed a number of other cases of torture, including an incident in which four priests were forcibly removed from the house of a bishop by the military police, who then proceeded to torture them. The accusations by the Council of Bishops happened to coincide with the publication by the New York Council on Religion and International Affairs of allegations by a former advisor to Senator George McGovern that there had been more than 1000 political prisoners in Brazil and that probably between 40 and 120 have been tortured to death.	Speaker 2	Brazil, government censorship	
0:3:57	0:4:34	In the light of these accusations, it may be significant that three police officers are now to be tried in Rio de Janeiro for torturing two prisoners. One of the officers is already well-known as the man who, after conducting a television campaign against delinquency and drug addiction, was reputed to have allowed the escape of a drug peddler for a bribe of $30,000. The indictment of the three policemen states that the two prisoners were submitted to all kinds of torture in an attempt to force them to admit their complicity in a murder that took place in June 1972.	Speaker 1	Brazil, government censorship	
0:4:34	0:5:04	In the view of most observers, the mere fact of this trial is an admission by the government that torture is being used in Brazil, and this in itself is a step forward. It is being seen as an indication of new and less repressive policies to be introduced when General Ernesto Geisel takes over the presidency next year. But other observers are less optimistic. They point out that both these cases relate only to common criminals and that this cannot be taken as an indication of any easing of repressive measures against political prisoners. This analysis is from the London Weekly Latin America.	Spaker 2	Brazil, government censorship	
